imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
0,,,,,,,,,,,,,,,,,,,,,,,,,
tt0088751,0.0,,,350000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",,29163.0,en,The Naked Monster,"Using soundtracks and extensive footage from many old movies, this spoof/homage of 1950's science-fiction films brings back many favorite actors from these classic movies, some reprising their former roles, to help destroy a giant stop-motion monster that is threatening to destroy Los Angeles.",3.411,/aYbeNeNID1wLBp9l214w8CU00xd.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-04-22,0.0,100.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Naked Monster,0.0,3.4,5.0,
tt0118141,0.0,/unoJZwLGTlzKc3QkvsERVPLRnFH.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",http://www.crispinglover.com/whatisit.htm,54506.0,en,What Is It?,"What Is It? is the name of a 2005 experimental film written, starring, funded and directed by Crispin Glover. As of 2008, the film has only been shown at independent theaters, typically accompanied by a question and answer session, slideshow and meet-and-greet/autograph signing with Glover.",3.461,/tt09npeT8Ay05N9eWE9e1HAegk1.jpg,"[{'id': 91744, 'logo_path': None, 'name': 'Volcanic Eruptions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-01-27,0.0,72.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"The adventures of a young man whose principle interests are snails, salt, a pipe, and how to get home. As tormented by a hubristic, racist inner psyche.",What Is It?,0.0,5.8,22.0,NC-17
tt0120667,0.0,/A5KyGSqq13eoW380LINMk8vQFuW.jpg,"{'id': 9744, 'name': 'Fantastic Four Collection', 'poster_path': '/prObnUSCHIBC8ZjkGo2KHgjkWOo.jpg', 'backdrop_path': '/3JFe9AWoKuQWox7HO8HKgYRMOF7.jpg'}",100000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",,9738.0,en,Fantastic Four,"During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong … thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction.",45.841,/8HLQLILZLhDQWO6JDpvY6XJLH75.jpg,"[{'id': 26149, 'logo_path': None, 'name': 'Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG', 'origin_country': ''}, {'id': 436, 'logo_path': '/A7WCkG3F0NFvjGCwUnclpGdIu9E.png', 'name': '1492 Pictures', 'origin_country': 'US'}, {'id': 19551, 'logo_path': '/2WpWp9b108hizjHKdA107hFmvQ5.png', 'name': 'Marvel Enterprises', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 10881, 'logo_path': None, 'name': 'Bernd Eichinger Productions', 'origin_country': ''}, {'id': 47, 'logo_path': '/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png', 'name': 'Constantin Film', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-06-29,333535934.0,106.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,4 times the action. 4 times the adventure. 4 times the fantastic.,Fantastic Four,0.0,5.8,8012.0,PG-13
tt0121164,0.0,/r4VumNLSafeGhlieKNhGv0BQ4UD.jpg,,40000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}]",http://corpsebridemovie.warnerbros.com/,3933.0,en,Corpse Bride,"Set in a 19th-century european village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",121.622,/isb2Qow76GpqYmsSyfdMfsYAjts.jpg,"[{'id': 8601, 'logo_path': None, 'name': 'Tim Burton Productions', 'origin_country': ''}, {'id': 11537, 'logo_path': '/AgCkAk8EpUG9fTmK6mWcaJA2Zwh.png', 'name': 'Laika Entertainment', 'origin_country': 'US'}, {'id': 57751, 'logo_path': None, 'name': 'Patalex Productions', 'origin_country': ''}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 1515, 'logo_path': None, 'name': 'Will Vinton Studios', 'origin_country': ''}, {'id': 1514, 'logo_path': None, 'name': 'Tim Burton Animation Company', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-09-12,118133252.0,77.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,There's been a grave misunderstanding.,Corpse Bride,0.0,7.5,7110.0,
tt0121766,0.0,/eFaRU5y8wIwV0D14DPkbLaRUzOV.jpg,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/tdQzRSk4PXX6hzjLcQWHafYtZTI.jpg', 'backdrop_path': '/d8duYyyC9J5T825Hg7grmaabfxQ.jpg'}",113000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",http://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,1895.0,en,Star Wars: Episode III - Revenge of the Sith,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,46.813,/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,"[{'id': 1, 'logo_path': '/o86DbpburjxrqAzEDhXZcyE8pDb.png', 'name': 'Lucasfilm', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-05-17,850000000.0,140.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The saga is complete.,Star Wars: Episode III - Revenge of the Sith,0.0,7.4,11374.0,PG-13
tt0146272,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,309201.0,en,Shooting Vegetarians,"Neil, a punk rock vegetarian, is being forced to go into the family butcher business. He decides to save the world instead.",0.655,/a6LRcTswZFNsfiqiTvOD5lyA6i6.jpg,[],[],2005-02-08,0.0,0.0,[],Released,,Shooting Vegetarians,0.0,0.0,0.0,
tt0160261,0.0,,,0.0,[],,271571.0,en,False River,"Thriller - Unwittingly framed for murder, Jim Mix is desperate to escape an insane asylum in the Deep South. In his flight from the institution, Jim embarks on a physical and spiritual quest to regain his life in False River. -  Salvator Xuereb, George Faughnan, Stephanie Astalos-Jones",0.6000000000000001,,[],[],2005-01-01,0.0,,[],Released,,False River,0.0,0.0,0.0,
tt0160706,0.0,/aiXmguHpSIjen4eMGYDdg8XU9dS.jpg,,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,20270.0,en,The Prodigy,"""The Prodigy"" tells the story of small-time enforcer Truman Fisher's vicious conflict with a sadistic assassin who has chosen the unwilling Truman to be his successor. The assassin, who goes by the alias Rains and whose exploits have become the source of legend among Truman's underworld colleagues, drives Truman, through the pressure of constant violence and grief, to understand his own capacity for both bloodshed and compassion. Ultimately this reveals to Truman that he as with all of us, must find our place in this world or as Rains would say ""our place in this grand design."" This action begins quickly as Truman meets with a turncoat from a rival gang. This tense showdown erupts quickly into mayhem, when Rains makes his unexpected entrance. In the wake of the ensuing bloodbath, Truman is forced to reevaluate his own role in the small, violent world he inhabits, suddenly aware that there are larger powers at work which he does not understand...",2.8970000000000002,/czl27NrJPwYCcQ4D4Yj8OGptHV.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-01-01,0.0,120.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Sometimes what you are looking for... is looking for you.,The Prodigy,0.0,4.2,6.0,
tt0179803,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,277310.0,en,Angels with Angles,"An angel wishes to be reunited with his long lost love but they are on different Angel Levels. To get his wish, he's sent on a mission by God to save a man.",0.727,,"[{'id': 72612, 'logo_path': None, 'name': 'Sierra Mar Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-12-16,0.0,87.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Love is Heaven if it doesn't kill you ...,Angels with Angles,0.0,0.0,0.0,PG
