imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
0,,,,,,,,,,,,,,,,,,,,,,,,,
tt0119231,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,107182.0,en,The Junior Defenders,A deranged fan goes on a mission to kidnap the former cast of a 1970s kids superhero show in order to produce his own episode.,0.622,/5CuNaA0FznlYeau58Q5xzJXnEH.jpg,[],[],2007-10-23,0.0,82.0,[],Released,,The Junior Defenders,0.0,3.0,1.0,
tt0211933,0.0,/nAVntSurtINQNtYPU7ijgCtgz7W.jpg,,86000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",,13483.0,en,Awake,"While undergoing heart surgery, a man experiences a phenomenon called ‘anesthetic awareness’, which leaves him awake but paralyzed throughout the operation. As various obstacles present themselves, his wife must make life-altering decisions while wrestling with her own personal drama.",14.794,/jIPIxaBcppLLkygko7tV5yuTIs1.jpg,"[{'id': 308, 'logo_path': '/e8F3mQM7DkJ5SfYYDp8FYzPBOGX.png', 'name': 'The Weinstein Company', 'origin_country': 'US'}, {'id': 547, 'logo_path': None, 'name': 'Open City Films', 'origin_country': 'US'}, {'id': 2150, 'logo_path': None, 'name': 'GreeneStreet Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-11-28,14373825.0,84.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Every year, one in 700 people wake up during surgery.",Awake,0.0,6.4,1089.0,R
tt0213985,0.0,/d9WT4FCjvB3Z6Sx2cYckdPi9rMI.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,14608.0,en,Partition,"Determined to leave the ravages of war behind, 38 year old Gian Singh resigns from the British Indian Army to a quiet life. His world is soon thrown in turmoil, when he suddenly finds himself responsible for the life of a 17 year old girl, traumatized by the events that separated her from her family.",7.077,/qCq3QZbrf2ENAEyPJVaCGbWOQ1N.jpg,"[{'id': 3905, 'logo_path': None, 'name': 'Khussro Films', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'ZA', 'name': 'South Africa'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2007-02-02,0.0,116.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Partition,0.0,6.3,22.0,R
tt0218140,0.0,,,0.0,[],,316153.0,en,Death and Taxis,"Take a fascinating journey in Death And Taxis where the journey is the destination, and the next world might be just a cab ride away. Hugging the double-yellow line between this life and the next, one big city taxi carries the stories of several drivers and passengers, each contending with intensely psychological and sometimes supernatural brushes with death. Whether profound, funny or simply creepy, these vignettes come to life and afterlife in the hands of a diverse group of acclaimed actors.",0.6000000000000001,,[],[],2007-05-18,0.0,,[],Released,,Death and Taxis,0.0,0.0,0.0,
tt0227671,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,19319.0,en,Tortilla Heaven,"Isidor's Tortilla Heaven is the best restaurant in New Mexico maybe even the world. But though his tortillas are scrumptious, his enchiladas divine, Isidor has never made a dime. Why? He lives in Falfurrias, population 73. One Sunday, while all the town, including his wife and son, are piously praying mass, a miracle occurs. Upon one of his famous, hand-made tortillas appears the face of Jesus Christ.",2.501,/E8aOMLHvAZh5cy50fncdCJWNeg.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'MX', 'name': 'Mexico'}]",2008-10-14,0.0,98.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,You can't keep a miracle secret,Tortilla Heaven,0.0,4.6,10.0,PG-13
tt0242029,0.0,/vBYHjlsMI4HG8MS2oA2Ig6rIVRf.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,177402.0,pt,Terra Sonâmbula,"In the midst of Mozambique's devastating civil war, Muidinga, an orphaned refugee, wanders the countryside in search of his mother. His only companion is an elderly storyteller, and the only guide to finding his mother is a dead man's diary. This transporting drama underscores the power of imagination in surviving, and ultimately overcoming, the catastrophe of war.",0.892,/cM1q6h80N6N7kp8C9hRmlgXSmSS.jpg,"[{'id': 16418, 'logo_path': None, 'name': 'Instituto do Cinema, Audiovisual e Multimédia (ICAM)', 'origin_country': 'PT'}, {'id': 40110, 'logo_path': None, 'name': 'Ébano Multimédia', 'origin_country': 'MZ'}, {'id': 16652, 'logo_path': None, 'name': 'Filmes de Fundo', 'origin_country': 'PT'}]","[{'iso_3166_1': 'MZ', 'name': 'Mozambique'}, {'iso_3166_1': 'PT', 'name': 'Portugal'}]",2007-09-22,0.0,97.0,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,,Sleepwalking Land,0.0,6.0,6.0,
tt0259324,0.0,/ohfWCHT65P7b3kQvZnoy2BL95MB.jpg,"{'id': 90306, 'name': 'Ghost Rider Collection', 'poster_path': '/bZBasloaMhjxCwH6tV0eziNMqut.jpg', 'backdrop_path': '/cNRAWtbItigb2oFwXpcDi6mjMQm.jpg'}",110000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",http://www.sonypictures.com/movies/ghostrider/,1250.0,en,Ghost Rider,"In order to save his dying father, young stunt cyclist Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.",51.333,/8LaVQiXBsnlo7MXCPK1nXTVARUZ.jpg,"[{'id': 20241, 'logo_path': None, 'name': 'Crystal Sky Pictures', 'origin_country': ''}, {'id': 7295, 'logo_path': '/5MYE96QiE5a5oFhXxFb4y8ILSpw.png', 'name': 'Relativity Media', 'origin_country': 'US'}, {'id': 11370, 'logo_path': None, 'name': 'Michael De Luca Productions', 'origin_country': 'US'}, {'id': 20475, 'logo_path': None, 'name': 'GH One', 'origin_country': ''}, {'id': 20476, 'logo_path': None, 'name': 'Vengeance Productions Pty. Ltd.', 'origin_country': ''}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-01-15,228738393.0,114.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Hell is about to be unleashed.,Ghost Rider,0.0,5.5,4854.0,PG-13
tt0275236,0.0,,,0.0,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}]",,270676.0,en,The Bros.,"Wannabe ""gangsta-rappers"" resort to a crime spree in order to come up up with ten thousand dollars in order to finance a studio recording session.",0.6000000000000001,,[],[],2007-02-20,0.0,91.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Bros.,0.0,3.3,3.0,
tt0283503,0.0,,,8000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,13072.0,en,Brooklyn Rules,"Brooklyn, 1985. With the mob world as a backdrop, three life-long friends struggle with questions of love, loss and loyalty.",5.583,/jTmCII6EnK1h0nLPusWvQnp9QTa.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-04-30,458232.0,99.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Not made to be broken,Brooklyn Rules,0.0,6.1,48.0,R
